Date,Location,Green_Medicine,Orange_Medicine,Temperature,Ads_Papers,Price
7/1/2016,VA,97,67,70,90,0.25
7/2/2016,VA,98,67,72,90,0.25
7/3/2016,VA,110,77,71,104,0.25
7/4/2016,NC,134,99,76,98,0.25
7/5/2016,NC,159,118,78,135,0.25
7/6/2016,NC,103,69,82,90,0.25
7/7/2016,NC,143,101,81,135,0.25
7/8/2016,NC,123,86,82,113,0.25
7/9/2016,NC,134,95,80,126,0.25
7/10/2016,NC,140,98,82,131,0.25
7/11/2016,NC,162,120,83,135,0.25
7/12/2016,NC,130,95,84,99,0.25
7/13/2016,NC,109,75,77,99,0.25
7/14/2016,NC,122,85,78,113,0.25
7/15/2016,NC,98,62,75,108,0.5
7/16/2016,NC,81,50,74,90,0.5
7/17/2016,NC,115,76,77,126,0.5
7/18/2016,VA,131,92,81,122,0.5
7/19/2016,VA,122,85,78,113,0.5
7/20/2016,VA,71,42,70,31,0.5
7/21/2016,VA,83,50,77,90,0.5
7/22/2016,VA,112,75,80,108,0.5
7/23/2016,VA,120,82,81,117,0.5
7/24/2016,VA,121,82,82,117,0.5
7/25/2016,VA,156,113,84,135,0.5
7/26/2016,VA,176,129,83,158,0.35
7/27/2016,VA,104,68,80,99,0.35
7/28/2016,VA,96,63,82,90,0.35
7/29/2016,VA,100,66,81,95,0.35
7/30/2016,NC,88,57,82,81,0.35
7/31/2016,NC,76,47,82,68,0.35
7/1/2015,VA,79,67,72,,0.25
7/2/2015,VA,79,58,70,,0.25
7/3/2015,VA,93,66,71,,0.25
7/4/2015,NC,123,81,78,,0.25
7/5/2015,NC,142,114,78,,0.25
7/6/2015,NC,89,62,80,,0.25
7/7/2015,NC,133,89,84,,0.25
7/8/2015,NC,103,72,81,,0.25
7/9/2015,NC,118,86,77,,0.25
7/10/2015,NC,123,91,83,,0.25
7/11/2015,NC,143,107,85,,0.25
7/12/2015,NC,115,85,82,,0.25
7/13/2015,NC,99,55,76,,0.25
7/14/2015,NC,102,78,76,,0.25
7/15/2015,NC,81,103,74,,0.5
7/16/2015,NC,65,37,77,,0.5
7/17/2015,NC,103,60,74,,0.5
7/18/2015,VA,120,78,82,,0.5
7/19/2015,VA,112,66,77,,0.5
7/20/2015,VA,52,95,68,,0.5
7/21/2015,VA,69,38,77,,0.5
7/22/2015,VA,102,56,81,,0.5
7/23/2015,VA,100,74,79,,0.5
7/24/2015,VA,104,73,79,,0.5
7/25/2015,VA,143,104,82,,0.5
7/26/2015,VA,156,125,83,,0.35
7/27/2015,VA,93,55,80,,0.35
7/28/2015,VA,83,47,80,,0.35
7/29/2015,VA,86,59,81,,0.35
7/30/2015,NC,68,57,84,,0.35
7/31/2015,NC,66,35,85,,0.35
