PPL,Pts,EDVs,IPVs,Readm,MbMos
201806,67509,53565,8713,848,0
201807,67087,52203,8404,803,0
201808,67613,53943,8735,843,0
201809,67721,53476,8600,839,0
201810,67672,52590,8555,879,0
201811,68502,53399,8651,862,0
201812,68010,53014,8459,841,0
201901,68580,44677,7086,678,0
201902,68656,53074,8466,869,0
201903,68640,52378,8519,868,0
201904,68502,51988,8519,866,0
201905,68842,53886,8789,904,721446
201906,68823,52999,8582,900,723110
201907,68890,51487,8313,872,728322
201908,69227,50477,8100,876,734534
201909,69280,51842,8548,965,735932
201910,59724,44745,8042,941,625816
201911,69815,50391,8093,837,726187
201912,70733,52158,8356,839,731190
202001,70557,46347,7290,638,732885
202002,67963,44268,6977,616,707981
202003,69668,50208,7983,728,727004
202004,71503,52967,8468,777,747368
202005,72517,50729,8411,769,761136
202006,73619,47297,8197,763,776122
202007,70550,44664,8218,768,743887
202008,71438,44350,8302,803,755732
202009,70774,42659,7259,672,752917
202010,72955,32835,8735,907,784484
202011,72197,27919,7425,738,779333
202012,71624,27374,7310,714,776557
202101,73610,15969,8160,904,796523
202102,69433,10357,7780,819,755551
202103,73838,5938,8145,888,799962
202104,75597,32738,8565,919,798900
202105,76204,33085,8486,913,809492
202106,75726,33010,8132,852,809101
