variable,PPL,Practice_Name,Enrollees
Patients,202101,BIRTH AND WOMEN'S CARE,17
Patients,202101,CALVARY PEDIATRICS,48
Patients,202101,CAPE FEAR VALLEY PEDIATRICS,162
Patients,202101,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,20
Patients,202101,CAROLINA PEDIATRIC GROUP,15
Patients,202101,CAROLINA URGENT AND FAMILY CARE,25
Patients,202101,CFVMC DIVISION OF DUKE OB/GYN,26
Patients,202101,CROSS CREEK PEDIATRICS,23
Patients,202101,CUMBERLAND COUNTY HEALTH DEPARTMENT,30
Patients,202101,"ERNESTO J.F. GRAHAM, MD",15
Patients,202101,FAYETTEVILLE CHILDREN'S CLINIC,15
Patients,202101,HEALTH PAVILION NORTH,25
Patients,202101,HOKE PRIMARY CARE,27
Patients,202101,HOPE MILLS FAMILY CARE,28
Patients,202101,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,18
Patients,202101,JONES CENTER FOR WOMEN'S HEALTH,21
Patients,202101,KIDZCARE PEDIATRICS AT ALL AMERICAN,46
Patients,202101,KIDZCARE PEDIATRICS AT CAPE FEAR,62
Patients,202101,KIDZCARE PEDIATRICS AT HOPE MILLS,82
Patients,202101,KIDZCARE PEDIATRICS AT NORTHSIDE,89
Patients,202101,KIDZCARE PEDIATRICS AT SPRING LAKE,49
Patients,202101,KIDZCARE PEDIATRICS AT YADKIN,35
Patients,202101,LEGACY PEDIATRICS,22
Patients,202101,RAINBOW PEDIATRICS OF FAYETTEVILLE,106
Patients,202101,RAINBOW PEDIATRICS OF HOPE MILLS,40
Patients,202101,RAPHA PRIMARY CARE OF FAYETTEVILLE,50
Patients,202101,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,21
Patients,202101,SOUTHERN REGIONAL AHEC,95
Patients,202101,STEDMAN MEDICAL CARE,24
Patients,202101,SUNSHINE PEDIATRICS,22
Patients,202101,WADE FAMILY MEDICAL CENTER - DOWNTOWN,19
Patients,202101,WESTSIDE MEDICAL CARE,30
Patients,202102,BIRTH AND WOMEN'S CARE,16
Patients,202102,CALVARY PEDIATRICS,45
Patients,202102,CAPE FEAR VALLEY PEDIATRICS,145
Patients,202102,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,19
Patients,202102,CAROLINA PEDIATRIC GROUP,15
Patients,202102,CAROLINA URGENT AND FAMILY CARE,26
Patients,202102,CFVMC DIVISION OF DUKE OB/GYN,27
Patients,202102,CROSS CREEK PEDIATRICS,22
Patients,202102,CUMBERLAND COUNTY HEALTH DEPARTMENT,28
Patients,202102,"ERNESTO J.F. GRAHAM, MD",13
Patients,202102,FAYETTEVILLE CHILDREN'S CLINIC,15
Patients,202102,HEALTH PAVILION NORTH,23
Patients,202102,HOKE PRIMARY CARE,24
Patients,202102,HOPE MILLS FAMILY CARE,27
Patients,202102,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,20
Patients,202102,JONES CENTER FOR WOMEN'S HEALTH,22
Patients,202102,KIDZCARE PEDIATRICS AT ALL AMERICAN,43
Patients,202102,KIDZCARE PEDIATRICS AT CAPE FEAR,55
Patients,202102,KIDZCARE PEDIATRICS AT HOPE MILLS,80
Patients,202102,KIDZCARE PEDIATRICS AT NORTHSIDE,87
Patients,202102,KIDZCARE PEDIATRICS AT SPRING LAKE,47
Patients,202102,KIDZCARE PEDIATRICS AT YADKIN,31
Patients,202102,LEGACY PEDIATRICS,23
Patients,202102,RAINBOW PEDIATRICS OF FAYETTEVILLE,106
Patients,202102,RAINBOW PEDIATRICS OF HOPE MILLS,39
Patients,202102,RAPHA PRIMARY CARE OF FAYETTEVILLE,44
Patients,202102,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,20
Patients,202102,SOUTHERN REGIONAL AHEC,89
Patients,202102,STEDMAN MEDICAL CARE,20
Patients,202102,SUNSHINE PEDIATRICS,19
Patients,202102,WADE FAMILY MEDICAL CENTER - DOWNTOWN,18
Patients,202102,WESTSIDE MEDICAL CARE,29
Patients,202103,BIRTH AND WOMEN'S CARE,18
Patients,202103,CALVARY PEDIATRICS,47
Patients,202103,CAPE FEAR VALLEY PEDIATRICS,153
Patients,202103,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,19
Patients,202103,CAROLINA PEDIATRIC GROUP,15
Patients,202103,CAROLINA URGENT AND FAMILY CARE,26
Patients,202103,CFVMC DIVISION OF DUKE OB/GYN,26
Patients,202103,CROSS CREEK PEDIATRICS,22
Patients,202103,CUMBERLAND COUNTY HEALTH DEPARTMENT,30
Patients,202103,"ERNESTO J.F. GRAHAM, MD",14
Patients,202103,FAYETTEVILLE CHILDREN'S CLINIC,15
Patients,202103,HEALTH PAVILION NORTH,24
Patients,202103,HOKE PRIMARY CARE,23
Patients,202103,HOPE MILLS FAMILY CARE,28
Patients,202103,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,22
Patients,202103,JONES CENTER FOR WOMEN'S HEALTH,22
Patients,202103,KIDZCARE PEDIATRICS AT ALL AMERICAN,44
Patients,202103,KIDZCARE PEDIATRICS AT CAPE FEAR,53
Patients,202103,KIDZCARE PEDIATRICS AT HOPE MILLS,83
Patients,202103,KIDZCARE PEDIATRICS AT NORTHSIDE,92
Patients,202103,KIDZCARE PEDIATRICS AT SPRING LAKE,49
Patients,202103,KIDZCARE PEDIATRICS AT YADKIN,42
Patients,202103,LEGACY PEDIATRICS,24
Patients,202103,RAINBOW PEDIATRICS OF FAYETTEVILLE,118
Patients,202103,RAINBOW PEDIATRICS OF HOPE MILLS,41
Patients,202103,RAPHA PRIMARY CARE OF FAYETTEVILLE,50
Patients,202103,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,20
Patients,202103,SOUTHERN REGIONAL AHEC,95
Patients,202103,STEDMAN MEDICAL CARE,25
Patients,202103,SUNSHINE PEDIATRICS,19
Patients,202103,WADE FAMILY MEDICAL CENTER - DOWNTOWN,18
Patients,202103,WESTSIDE MEDICAL CARE,31
Patients,202104,BIRTH AND WOMEN'S CARE,22
Patients,202104,CALVARY PEDIATRICS,52
Patients,202104,CAPE FEAR VALLEY PEDIATRICS,143
Patients,202104,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,24
Patients,202104,CAROLINA PEDIATRIC GROUP,18
Patients,202104,CAROLINA URGENT AND FAMILY CARE,23
Patients,202104,CFVMC DIVISION OF DUKE OB/GYN,27
Patients,202104,CROSS CREEK PEDIATRICS,23
Patients,202104,CUMBERLAND COUNTY HEALTH DEPARTMENT,49
Patients,202104,"ERNESTO J.F. GRAHAM, MD",13
Patients,202104,FAYETTEVILLE CHILDREN'S CLINIC,11
Patients,202104,HEALTH PAVILION NORTH,22
Patients,202104,HOKE PRIMARY CARE,29
Patients,202104,HOPE MILLS FAMILY CARE,30
Patients,202104,HOPE MILLS URGENT CARE AND MEDICAL CLINIC,19
Patients,202104,JONES CENTER FOR WOMEN'S HEALTH,22
Patients,202104,KIDZCARE PEDIATRICS AT ALL AMERICAN,45
Patients,202104,KIDZCARE PEDIATRICS AT CAPE FEAR,48
Patients,202104,KIDZCARE PEDIATRICS AT HOPE MILLS,89
Patients,202104,KIDZCARE PEDIATRICS AT NORTHSIDE,88
Patients,202104,KIDZCARE PEDIATRICS AT SPRING LAKE,52
Patients,202104,KIDZCARE PEDIATRICS AT YADKIN,46
Patients,202104,LEGACY PEDIATRICS,24
Patients,202104,RAINBOW PEDIATRICS OF FAYETTEVILLE,120
Patients,202104,RAINBOW PEDIATRICS OF HOPE MILLS,41
Patients,202104,RAPHA PRIMARY CARE OF FAYETTEVILLE,60
Patients,202104,SOUTHEASTERN MEDICAL CLINIC-GRAY'S CREEK,22
Patients,202104,SOUTHERN REGIONAL AHEC,88
Patients,202104,STEDMAN MEDICAL CARE,25
Patients,202104,SUNSHINE PEDIATRICS,23
Patients,202104,WADE FAMILY MEDICAL CENTER - DOWNTOWN,19
Patients,202104,WESTSIDE MEDICAL CARE,30
Patients,202105,BIRTH AND WOMEN'S CARE,23
Patients,202105,CALVARY PEDIATRICS,52
Patients,202105,CAPE FEAR VALLEY PEDIATRICS,142
Patients,202105,CAPE FEAR VALLEY PRIMARY CARE - FAYETTEVILLE FAMILY,24
Patients,202105,CAROLINA PEDIATRIC GROUP,18
Patients,202105,CAROLINA URGENT AND FAMILY CARE,22
